STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/21/2004,2004,1,21,15,27,3
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/22/2004,2004,1,22,24,38,10
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/23/2004,2004,1,23,29.5,40,19
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/24/2004,2004,1,24,23.5,32,15
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/25/2004,2004,1,25,5.5,16,-5
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/26/2004,2004,1,26,4.5,14,-5
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/27/2004,2004,1,27,12.5,23,2
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/28/2004,2004,1,28,22,31,13
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/29/2004,2004,1,29,25,32,18
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/30/2004,2004,1,30,21.5,31,12
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/31/2004,2004,1,31,5,20,-10
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,2/1/2004,2004,2,1,5,20,-10
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,2/2/2004,2004,2,2,12,24,0
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,2/3/2004,2004,2,3,16,21,11
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,2/4/2004,2004,2,4,16,27,5
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,2/5/2004,2004,2,5,10.5,24,-3
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,2/6/2004,2004,2,6,12.5,28,-3
